t,o,h,l,c
1782954000,30110.5,30147.75,30098,30146
1782954300,30147.25,30188,30144,30183
1782954600,30182,30191,30172.25,30186.75
1782954900,30186.5,30199,30166.25,30193
1782955200,30190.75,30196.5,30180.25,30195.75
1782955500,30195.25,30205.25,30177.5,30194.25
1782955800,30195.25,30209.25,30189.25,30196
1782956100,30195.75,30229,30192,30226.75
1782956400,30225.75,30226.75,30208,30215
1782956700,30214,30226.75,30200.75,30217.25
1782957000,30216.75,30222.75,30201.75,30205.75
1782957300,30206.5,30211.5,30197,30203.75
1782957600,30203.75,30205.75,30190,30204.75
1782957900,30203.75,30220,30202,30217.25
1782958200,30215.75,30230.25,30207.25,30228.5
1782958500,30230,30239.5,30215,30218
1782958800,30217.25,30219,30185.5,30189.5
1782959100,30190.75,30207,30189.25,30191
1782959400,30193.25,30214.25,30180.75,30212.75
1782959700,30212.25,30218,30197.25,30201
1782960000,30200.25,30209.25,30195.25,30208.25
1782960300,30209.25,30230,30203,30203.5
1782960600,30204.75,30208,30191.25,30194
1782960900,30196.75,30214.5,30191.25,30207.5
1782961200,30208.25,30212.75,30188.25,30188.75
1782961500,30190,30193,30158.5,30160.5
1782961800,30160.25,30183,30158.25,30178
1782962100,30177.75,30185,30164.75,30170
1782962400,30172,30172.25,30138,30148
1782962700,30148,30163.25,30134.5,30151
1782963000,30151.25,30193.75,30148.5,30187
1782963300,30185.5,30197,30162.25,30166
1782963600,30167.25,30171.5,30145,30158
1782963900,30157.75,30159.25,30138.25,30158
1782964200,30156.75,30177.75,30154.25,30174.25
1782964500,30170.75,30185,30167.25,30171.25
1782965100,30155.5,30157,30149.75,30151.25
1782965400,30152.5,30154.5,30127.25,30127.5
1782965700,30127.5,30134.25,30116.25,30116.25
1782966000,30117,30122,30102.75,30120.25
1782966300,30120,30141.75,30116.75,30135.5
1782966600,30134.5,30135.75,30094.5,30099
1782966900,30099.75,30100.75,30074.5,30079.75
1782967200,30080,30081.25,30064.25,30068.75
1782967500,30066,30089,30050,30074.75
1782967800,30074.75,30105,30073.5,30103.5
1782968100,30105.25,30122.25,30101,30111.25
1782968400,30114,30132.5,30094.25,30128.25
1782968700,30130.5,30151.5,30129.25,30150.75
1782969000,30148,30154.25,30138.5,30145.5
1782969300,30145.5,30159.75,30136.25,30147.5
1782969600,30148.5,30157.5,30143,30150.25
1782969900,30144.5,30144.5,30112.75,30115.5
1782970200,30115.75,30116.75,30085.5,30087.5
1782970500,30088.25,30090.5,30052,30053.75
1782970800,30053.5,30074.25,30047,30053.5
1782971100,30053.75,30065.75,30037.25,30045
1782971400,30046,30073,30046,30053
1782971700,30054.5,30070.5,30048.25,30051
1782972000,30052,30066,30014.5,30018
1782972300,30019.25,30029,29988.5,29994
1782972600,29995,29997.25,29954.5,29954.5
1782972900,29954,29986.25,29947,29981.5
1782973200,29979.5,29995,29967,29970.75
1782973500,29970.75,29989.25,29950.75,29952.75
1782973800,29953.75,30005,29953.75,29998.25
1782974100,29999,30007.5,29983.5,29990.5
1782974400,29989.5,29993.75,29963.25,29971.75
1782974700,29975,29978,29913.25,29918
1782975000,29916.5,29926,29895,29916.75
1782975300,29917,29947.25,29916,29919.75
1782975600,29921.25,29937.5,29900.5,29912.5
1782975900,29915,29915.25,29879.5,29881.75
1782976200,29882.75,29899.5,29832.25,29833
1782976500,29836.75,29872.75,29826.25,29845.25
1782976800,29844.25,29862.5,29831.25,29851.5
1782977100,29847.5,29867.75,29826.5,29863.75
1782977400,29866,29887,29858.75,29886
1782977700,29886.25,29896.5,29872.25,29895.25
1782978000,29895,29943.5,29895,29939.5
1782978300,29939.75,29944.5,29921.75,29934.5
1782978600,29931.25,29942.25,29905.25,29910
1782978900,29906.5,29909.75,29884.5,29891.25
1782979200,29893.5,29910.5,29865.25,29905.25
1782979500,29905.25,29927,29861,29877.25
1782979800,29878.5,29880,29827.25,29841
1782980100,29844.25,29891,29839.25,29889.5
1782980400,29889.5,29917.25,29881.25,29910
1782980700,29909.5,29941.75,29908,29926.25
1782981000,29924.5,29991,29916.25,29989
1782981300,29987.5,30014.5,29984.25,29999.5
1782981600,29997.5,29999.5,29976.5,29980.75
1782981900,29982,30001.75,29970.25,30000.25
1782982200,30001.75,30027,29997,30011.25
1782982500,30010.25,30038.25,30006.25,30033
1782982800,30032.75,30033.5,29988.5,29990.25
1782983100,29988.75,29992,29961,29968
1782983400,29969.5,29988.75,29967,29984
